player_id,name,player_url,team,position,headshot_url,gp,min,pts,offensive_rebounds,defensive_rebounds,reb,ast,stl,blk,turnovers,pf
,Brittney Sykes,/player/brittney-sykes-5r0ujro9gsjp,Rose,Unknown,https://pub-ad8cc693759b4b55a181a76af041efa0.r2.dev/players/brittney-sykes/images/rose-headshot.jpg?v=1738721238937,8,11.6,10.5,1.0,2.1,3.1,1.8,0.4,0.0,1.9,3.4
,Jordin Canada,/player/jordin-canada-t38wmgweal5r,Vinyl,Unknown,https://pub-ad8cc693759b4b55a181a76af041efa0.r2.dev/players/jordin-canada/images/vinyl-headshot.jpg?v=1738721238937,9,12.0,9.7,1.1,2.7,3.8,3.6,0.7,0.0,1.2,1.7
224459,Courtney Vandersloot,/player/courtney-vandersloot-ely1fqoqbhak,Mist,G,https://pub-ad8cc693759b4b55a181a76af041efa0.r2.dev/players/courtney-vandersloot/images/mist-headshot.jpg?v=1738721238937,11,10.3,9.6,0.5,2.8,3.3,3.2,0.5,0.3,1.4,2.0
,Courtney Williams,/player/courtney-williams-v723cso81wi3,Lunar Owls,Unknown,https://pub-ad8cc693759b4b55a181a76af041efa0.r2.dev/players/courtney-williams/images/lunar-owls-headshot.jpg?v=1738721238937,10,9.3,9.5,0.3,3.6,3.9,4.6,0.3,0.2,0.4,2.0
224468,Natasha Cloud,/player/natasha-cloud-pwrq626gh7a3,Phantom,G,https://pub-ad8cc693759b4b55a181a76af041efa0.r2.dev/players/natasha-cloud/images/phantom-headshot.jpg?v=1738721238937,11,14.3,9.3,0.7,4.5,5.3,5.1,0.5,0.1,1.9,2.3
,Rae Burrell,/player/rae-burrell-2pg47b3qi9z6,Vinyl,Unknown,https://pub-ad8cc693759b4b55a181a76af041efa0.r2.dev/players/rae-burrell/images/vinyl-headshot.jpg?v=1738721238937,10,9.0,8.9,0.5,1.6,2.1,1.5,0.8,0.6,0.8,1.4
224463,Aaliyah Edwards,/player/aaliyah-edwards-vuytsg7bv3o1,Mist,F,https://pub-ad8cc693759b4b55a181a76af041efa0.r2.dev/players/aaliyah-edwards/images/mist-headshot.jpg?v=1738721238937,11,8.4,8.1,1.1,4.3,5.4,1.1,0.5,0.5,1.5,2.5
,Stefanie Dolson,/player/stefanie-dolson-2r5g7wdpfzkf,Laces,Unknown,https://pub-ad8cc693759b4b55a181a76af041efa0.r2.dev/players/stefanie-dolson/images/laces-headshot.jpg?v=1738721238937,10,14.4,7.9,0.9,4.0,4.9,1.1,0.2,0.6,1.6,2.3
,Kate Martin,/player/kate-martin-hron1sg1muj7,Laces,Unknown,https://pub-ad8cc693759b4b55a181a76af041efa0.r2.dev/players/kate-martin/images/laces-headshot.jpg?v=1738721238937,6,11.0,7.8,0.8,4.3,5.2,0.8,1.2,0.0,1.2,2.5
224458,DiJonai Carrington,/player/dijonai-carrington-pcmzjnqrhipe,Mist,G,https://pub-ad8cc693759b4b55a181a76af041efa0.r2.dev/players/dijonai-carrington/images/mist-headshot.jpg?v=1738721238937,8,7.6,7.8,0.4,3.5,3.9,1.5,1.1,0.3,1.6,2.6
,Natisha Hiedeman,/player/natisha-hiedeman-okjofgwlkna9,Laces,Unknown,https://pub-ad8cc693759b4b55a181a76af041efa0.r2.dev/players/natisha-hiedeman/images/laces-headshot.jpg?v=1738721238937,9,9.3,7.4,0.2,3.2,3.4,2.0,0.4,0.3,0.8,2.4
,Katie Lou Samuelson,/player/katie-lou-samuelson-v6zp627hqzx9,Phantom,Unknown,https://pub-ad8cc693759b4b55a181a76af041efa0.r2.dev/players/katie-lou-samuelson/images/phantom-headshot.jpg?v=1738721238937,11,11.2,7.2,0.7,1.7,2.5,2.1,0.8,0.3,0.8,2.1
,Shakira Austin,/player/shakira-austin-3z8uacbqmewp,Lunar Owls,Unknown,https://pub-ad8cc693759b4b55a181a76af041efa0.r2.dev/players/shakira-austin/images/lunar-owls-headshot.jpg?v=1738721238937,10,8.0,6.7,1.6,1.7,3.3,0.8,0.5,0.6,1.4,2.7
,Kiki Jefferson,/player/kiki-jefferson-8el60lpo8g48,Rose,Unknown,https://pub-ad8cc693759b4b55a181a76af041efa0.r2.dev/players/kiki-jefferson/images/rose-headshot.jpg?v=1738721238937,3,7.0,6.7,0.3,2.0,2.3,0.3,0.0,0.0,0.7,1.0
,Lexie Hull,/player/lexie-hull-bh6vgd8htw6a,Rose,Unknown,https://pub-ad8cc693759b4b55a181a76af041efa0.r2.dev/players/lexie-hull/images/rose-headshot.jpg?v=1738721238937,10,10.9,6.6,1.0,1.9,2.9,1.9,0.5,0.0,0.7,2.8
,Aliyah Boston,/player/aliyah-boston-v63b2ehlrlnu,Vinyl,Unknown,https://pub-ad8cc693759b4b55a181a76af041efa0.r2.dev/players/aliyah-boston/images/vinyl-headshot.jpg?v=1738721238937,10,9.0,5.2,1.2,4.2,5.4,1.0,0.3,0.4,0.7,2.0
,Ariel Atkins,/player/ariel-atkins-szisxx6phani,Rose,Unknown,https://pub-ad8cc693759b4b55a181a76af041efa0.r2.dev/players/ariel-atkins/images/rose-headshot.jpg?v=1738721238937,2,9.0,5.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0
,NaLyssa Smith,/player/nalyssa-smith-mpmuvgkbowvu,Mist,Unknown,https://pub-ad8cc693759b4b55a181a76af041efa0.r2.dev/players/nalyssa-smith/images/mist-headshot.jpg?v=1738721238937,1,5.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0
