id,game_id,game_date,quarter,time,play_description,home_score,away_score,team,player
1,jcdgg9yavn4e,2025-01-17,Q1,7:00,"Jumpball (Mist gains possesion)",0,0,Mist,NULL
2,jcdgg9yavn4e,2025-01-17,Q1,6:47,"Breanna Stewart makes two point shot",0,2,Mist,"Breanna Stewart"
3,jcdgg9yavn4e,2025-01-17,Q1,6:35,"Skylar Diggins-Smith makes two point shot",2,2,"Lunar Owls",NULL
4,jcdgg9yavn4e,2025-01-17,Q1,6:28,"Jewell Loyd misses three point shot",2,2,Mist,"Jewell Loyd"
5,jcdgg9yavn4e,2025-01-17,Q1,6:25,"Skylar Diggins-Smith defensive rebound",2,2,"Lunar Owls",NULL
6,jcdgg9yavn4e,2025-01-17,Q1,6:18,"Skylar Diggins-Smith misses three point shot",2,2,"Lunar Owls",NULL
7,jcdgg9yavn4e,2025-01-17,Q1,6:16,"Breanna Stewart defensive rebound",2,2,Mist,"Breanna Stewart"
8,jcdgg9yavn4e,2025-01-17,Q1,6:02,"Breanna Stewart misses three point shot",2,2,Mist,"Breanna Stewart"
9,jcdgg9yavn4e,2025-01-17,Q1,6:00,"Napheesa Collier defensive rebound",2,2,"Lunar Owls","Napheesa Collier"
10,jcdgg9yavn4e,2025-01-17,Q1,5:54,"Napheesa Collier misses two point shot",2,2,"Lunar Owls","Napheesa Collier"
11,jcdgg9yavn4e,2025-01-17,Q1,5:53,"Breanna Stewart defensive rebound",2,2,Mist,"Breanna Stewart"
12,jcdgg9yavn4e,2025-01-17,Q1,5:46,"Jewell Loyd misses two point shot",2,2,Mist,"Jewell Loyd"
13,jcdgg9yavn4e,2025-01-17,Q1,5:46,"Napheesa Collier defensive rebound",2,2,"Lunar Owls","Napheesa Collier"
14,jcdgg9yavn4e,2025-01-17,Q1,5:43,"Allisha Gray misses three point shot",2,2,"Lunar Owls","Allisha Gray"
15,jcdgg9yavn4e,2025-01-17,Q1,5:41,"Courtney Vandersloot defensive rebound",2,2,Mist,"Courtney Vandersloot"
16,jcdgg9yavn4e,2025-01-17,Q1,5:34,"Breanna Stewart misses three point shot",2,2,Mist,"Breanna Stewart"
17,jcdgg9yavn4e,2025-01-17,Q1,5:32,"Napheesa Collier defensive rebound",2,2,"Lunar Owls","Napheesa Collier"
18,jcdgg9yavn4e,2025-01-17,Q1,5:18,"Courtney Vandersloot personal foul",2,2,Mist,"Courtney Vandersloot"
19,jcdgg9yavn4e,2025-01-17,Q1,5:16,"Allisha Gray makes free throw (2pt.)",4,2,"Lunar Owls","Allisha Gray"
20,jcdgg9yavn4e,2025-01-17,Q1,5:05,"Jewell Loyd misses two point shot",4,2,Mist,"Jewell Loyd"
21,jcdgg9yavn4e,2025-01-17,Q1,5:04,"Allisha Gray defensive rebound",4,2,"Lunar Owls","Allisha Gray"
22,jcdgg9yavn4e,2025-01-17,Q1,4:57,"Breanna Stewart personal foul",4,2,Mist,"Breanna Stewart"
23,jcdgg9yavn4e,2025-01-17,Q1,4:57,"Allisha Gray makes free throw (2pt.)",6,2,"Lunar Owls","Allisha Gray"
24,jcdgg9yavn4e,2025-01-17,Q1,4:45,"Rickea Jackson misses two point shot",6,2,Mist,"Rickea Jackson"
25,jcdgg9yavn4e,2025-01-17,Q1,4:44,"Allisha Gray defensive rebound",6,2,"Lunar Owls","Allisha Gray"
26,jcdgg9yavn4e,2025-01-17,Q1,4:38,"Allisha Gray  bad pass turnover",6,2,"Lunar Owls","Allisha Gray"
27,jcdgg9yavn4e,2025-01-17,Q1,4:31,"Breanna Stewart assist",6,2,Mist,"Breanna Stewart"
28,jcdgg9yavn4e,2025-01-17,Q1,4:31,"Jewell Loyd makes two point shot",6,4,Mist,"Jewell Loyd"
29,jcdgg9yavn4e,2025-01-17,Q1,4:22,"Allisha Gray  bad pass turnover",6,4,"Lunar Owls","Allisha Gray"
30,jcdgg9yavn4e,2025-01-17,Q1,4:18,"Jewell Loyd makes three point shot",6,7,Mist,"Jewell Loyd"
31,jcdgg9yavn4e,2025-01-17,Q1,4:01,"Breanna Stewart personal foul",6,7,Mist,"Breanna Stewart"
32,jcdgg9yavn4e,2025-01-17,Q1,4:01,"Aaliyah Edwards defensive rebound",6,7,Mist,"Aaliyah Edwards"
33,jcdgg9yavn4e,2025-01-17,Q1,3:57,"Napheesa Collier misses free throw (2pt.)",6,7,"Lunar Owls","Napheesa Collier"
34,jcdgg9yavn4e,2025-01-17,Q1,3:48,"Aaliyah Edwards makes two point shot",6,9,Mist,"Aaliyah Edwards"
35,jcdgg9yavn4e,2025-01-17,Q1,3:37,"Allisha Gray misses three point shot",6,9,"Lunar Owls","Allisha Gray"
36,jcdgg9yavn4e,2025-01-17,Q1,3:35,"Mist defensive team rebound",6,9,Mist,NULL
37,jcdgg9yavn4e,2025-01-17,Q1,3:26,"Rickea Jackson misses two point shot",6,9,Mist,"Rickea Jackson"
38,jcdgg9yavn4e,2025-01-17,Q1,3:24,"Aaliyah Edwards offensive rebound",6,9,Mist,"Aaliyah Edwards"
39,jcdgg9yavn4e,2025-01-17,Q1,3:21,"Jewell Loyd misses three point shot",6,9,Mist,"Jewell Loyd"
40,jcdgg9yavn4e,2025-01-17,Q1,3:19,"Rickea Jackson offensive rebound",6,9,Mist,"Rickea Jackson"
41,jcdgg9yavn4e,2025-01-17,Q1,3:18,"Jewell Loyd misses two point shot",6,9,Mist,"Jewell Loyd"
42,jcdgg9yavn4e,2025-01-17,Q1,3:15,"Aaliyah Edwards offensive rebound",6,9,Mist,"Aaliyah Edwards"
